Club,Pos_2017-18,Pts_2017-18,GD_2017-18,Qualify_2017-18
Paris Saint-Germain,3,15,21,1
Bayern Munich,2,15,7,1
Chelsea,2,11,8,1
Atlético Madrid,1,7,1,0
Barcelona,3,14,8,1
Juventus,2,11,2,1
Liverpool,3,12,17,1
Manchester City,3,15,9,1
Tottenham Hotspur,3,16,11,1
Real Madrid,2,13,10,1
Borussia Dortmund,1,2,-6,0
