Club,Pos_2015-16,Pts_2015-16,GD_2015-16,Qualify_2015-16
Real Madrid,3,16,16,1
Paris Saint-Germain,2,13,11,1
Atlético Madrid,3,13,8,1
Manchester City,3,12,4,1
Juventus,2,11,3,1
Barcelona,3,14,11,1
Bayern Munich,3,15,16,1
Chelsea,3,13,10,1
Liverpool,-9999,-9999,-9999,-9999
Tottenham Hotspur,-9999,-9999,-9999,-9999
Borussia Dortmund,-9999,-9999,-9999,-9999
