Club,Pos_2014-15,Pts_2014-15,GD_2014-15,Qualify_2014-15
Atlético Madrid,3,13,11,1
Juventus,2,10,3,1
Real Madrid,3,18,14,1
Liverpool,1,5,-4,0
Borussia Dortmund,3,13,10,1
Bayern Munich,3,15,12,1
Manchester City,2,8,1,1
Barcelona,3,15,10,1
Paris Saint-Germain,2,13,3,1
Chelsea,3,14,14,1
Tottenham Hotspur,-9999,-9999,-9999,-9999
