Club,Pos_2018-19,Pts_2018-19,GD_2018-19,Qualify_2018-19
Borussia Dortmund,3,13,8,1
Atlético Madrid,2,13,3,1
Barcelona,3,14,9,1
Tottenham Hotspur,2,8,-1,1
Paris Saint-Germain,3,11,8,1
Liverpool,2,9,2,1
Bayern Munich,3,14,10,1
Manchester City,3,13,10,1
Real Madrid,3,12,7,1
Juventus,3,12,5,1
Chelsea,-9999,-9999,-9999,-9999
